City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
463,manokwari,-0.8667,134.0833,80.22,82,100,2.68,ID,1702420786
464,ebon,4.582,168.6964,82.62,81,100,16.13,MH,1702420786
465,lazaro cardenas,17.9583,-102.2,82.4,60,62,5.48,MX,1702420786
466,crane,31.3974,-102.3501,57.16,63,100,20.96,US,1702420787
467,turpan,42.9333,89.1667,30.78,48,100,7.61,CN,1702420787
468,ankazoabo,-22.2833,44.5167,74.91,61,84,5.48,MG,1702420787
469,qaryat suluq,31.6682,20.2521,62.73,81,34,9.08,LY,1702420787
470,inarajan village,13.2736,144.7484,83.39,86,99,18.52,GU,1702420787
471,twon-brass,4.3151,6.2418,82.2,67,45,7.18,NG,1702420787
472,mana,5.6592,-53.7767,78.85,87,99,10.65,GF,1702420788
473,puryong,42.0606,129.7117,19.35,79,37,2.08,KP,1702420788
474,phalodi,27.1333,72.3667,62.31,28,62,5.95,IN,1702420788
475,port-vila,-17.7338,168.3219,82.0,54,40,16.11,VU,1702420788
476,belyy yar,53.6039,91.3903,-29.31,75,20,0.0,RU,1702420788
477,kourou,5.1552,-52.6478,77.05,86,74,6.78,GF,1702420788
478,ust'-ordynskiy,52.805,104.7508,-34.67,100,71,0.51,RU,1702420789
479,puerto leguizamo,-0.1934,-74.7819,76.39,94,96,2.51,CO,1702420789
480,sinj,43.7036,16.6394,53.49,99,100,9.71,HR,1702420789
481,as saff,29.5647,31.2811,57.7,84,0,3.4,EG,1702420789
482,richlands,37.0932,-81.7937,42.85,45,0,4.61,US,1702420789
483,oppdal,62.5943,9.6912,11.79,89,54,8.21,NO,1702420790
484,siguiri,11.6667,-9.5,73.9,18,0,1.9,GN,1702420790
485,smithers,54.7804,-127.1743,25.12,86,100,3.44,CA,1702420508
486,itaituba,-4.2761,-55.9836,75.61,96,93,2.66,BR,1702420790
487,shelbyville,35.4834,-86.4603,54.32,45,0,4.61,US,1702420515
488,extrema,-22.8547,-46.3183,63.5,93,38,5.32,BR,1702420790
489,gangarampur,25.4,88.5167,61.43,43,6,7.0,IN,1702420791
490,ca mau,9.1769,105.15,77.63,82,96,9.69,VN,1702420791
491,walvis bay,-22.9575,14.5053,63.09,82,3,3.71,NA,1702420791
492,merizo village,13.2658,144.6691,82.98,86,98,18.41,GU,1702420791
493,guerrero negro,27.9769,-114.0611,69.78,44,100,5.91,MX,1702420791
494,igarka,67.4667,86.5833,-19.52,93,72,14.74,RU,1702420791
495,punta alta,-38.8759,-62.0736,72.07,62,91,15.17,AR,1702420792
496,znamenskoye,57.1281,73.8282,-9.69,89,100,7.65,RU,1702420792
497,shiraz,29.6036,52.5388,36.84,70,93,0.0,IR,1702420720
498,saipan,15.1355,145.701,83.1,69,20,12.66,MP,1702420792
499,emerald,-23.5333,148.1667,75.34,70,24,17.98,AU,1702420668
500,ouani,-12.1322,44.4258,81.12,76,52,7.74,KM,1702420792
501,levuka,50.1834,-105.4011,37.13,44,20,12.66,CA,1702420793
502,mburucuya,-28.0454,-58.2245,83.35,73,24,8.43,AR,1702420783
503,pecos,31.4229,-103.4932,61.63,33,0,0.0,US,1702420793
504,schwerte,51.45,7.5667,49.35,96,75,4.61,DE,1702420793
505,kailua-kona,19.6406,-155.9956,82.36,71,20,13.8,US,1702420793
506,magong,23.5654,119.5863,70.43,82,100,29.51,TW,1702420793
507,krasnystaw,50.9846,23.1742,36.86,99,99,5.23,PL,1702420793
508,lagunas,-5.2269,-75.6753,82.44,76,84,1.39,PE,1702420794
509,yaremche,48.4583,24.5519,33.91,95,84,5.46,UA,1702420794
510,khanty-mansiysk,61.0042,69.0019,-10.89,70,0,13.42,RU,1702420794
511,vail,32.0479,-110.712,76.33,7,23,5.99,US,1702420794
512,cortez,37.3489,-108.5859,52.56,24,0,13.8,US,1702420794
513,sao felix do xingu,-6.6447,-51.995,74.73,96,98,2.15,BR,1702420529
514,geraldton,-28.7667,114.6,64.81,59,0,3.44,AU,1702420795
515,remiremont,48.0175,6.5882,48.38,94,100,11.79,FR,1702420795
516,altay,47.8667,88.1167,-4.38,89,99,2.19,CN,1702420795
517,al kharijah,25.4514,30.5464,56.28,56,0,7.45,EG,1702420795
518,praia da vitoria,38.7333,-27.0667,57.45,82,40,14.34,PT,1702420795
519,visakhapatnam,17.69,83.2093,71.19,78,45,4.05,IN,1702420560
520,tengrela,10.4869,-6.4097,72.63,21,7,4.81,CI,1702420796
521,castillos,-34.1667,-53.8333,67.32,90,1,12.71,UY,1702420796
522,nyandoma,61.669,40.1991,15.24,93,100,9.28,RU,1702420796
523,nowy targ,49.4778,20.0323,35.74,92,58,2.59,PL,1702420796
524,achinsk,56.2694,90.4993,-35.81,100,63,4.0,RU,1702420796
525,oranjemund,-28.55,16.4333,59.09,83,0,18.19,NA,1702420796
526,luena,-11.7833,19.9167,66.38,94,0,4.61,AO,1702420796
527,conception bay south,47.4999,-52.9981,37.74,80,25,23.8,CA,1702420682
528,montmagny,48.9734,2.3469,51.96,86,75,16.11,FR,1702420559
529,matadi,-5.8167,13.45,76.53,94,95,1.63,CD,1702420797
530,bandar lampung,-5.4254,105.258,73.4,88,87,6.33,ID,1702420797
531,mafinga,-7.25,35.0667,70.61,85,97,2.19,TZ,1702420797
532,jayapura,-2.5333,140.7,81.79,89,100,3.47,ID,1702420797
